epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28597.9,1.1708,1.28764,1.42696,0.73845,0.57776,0.65808,0.38951,1.3591,1.38815,1.6942,0.0011882,0.0011882,0.0011882
43,29193.2,1.21066,1.31048,1.4611,0.73617,0.61583,0.67518,0.3835,1.40702,1.37387,1.70255,0.0011684,0.0011684,0.0011684
44,29777.6,1.19526,1.28965,1.43885,0.70627,0.6139,0.65972,0.3778,1.39908,1.35148,1.73556,0.0011486,0.0011486,0.0011486
45,30363.1,1.19707,1.29027,1.44777,0.73434,0.6139,0.67967,0.37901,1.43369,1.35718,1.72459,0.0011288,0.0011288,0.0011288
46,30977.9,1.14371,1.23754,1.40492,0.74005,0.58108,0.67187,0.38931,1.43511,1.34846,1.77552,0.001109,0.001109,0.001109
47,31568.9,1.17996,1.2686,1.44168,0.71747,0.6139,0.66198,0.38628,1.40881,1.34902,1.75276,0.0010892,0.0010892,0.0010892
48,32154.7,1.16655,1.22886,1.43057,0.69141,0.64881,0.68485,0.39799,1.35829,1.33459,1.67097,0.0010694,0.0010694,0.0010694
49,32738.8,1.14661,1.22316,1.39927,0.75992,0.5695,0.65535,0.38212,1.34469,1.34934,1.67874,0.0010496,0.0010496,0.0010496
50,33324.1,1.14023,1.22155,1.4045,0.73534,0.61583,0.68952,0.40617,1.37038,1.29231,1.69971,0.0010298,0.0010298,0.0010298
51,33909.5,1.1239,1.19306,1.39705,0.74114,0.64865,0.7049,0.40724,1.39974,1.29967,1.70157,0.00101,0.00101,0.00101
52,34498,1.12253,1.18528,1.39974,0.76339,0.61969,0.69047,0.3978,1.41089,1.28972,1.75403,0.0009902,0.0009902,0.0009902
53,35082.8,1.12309,1.1716,1.38799,0.72444,0.6583,0.71531,0.41261,1.37397,1.27373,1.7314,0.0009704,0.0009704,0.0009704
54,35669.1,1.11,1.14454,1.39287,0.74352,0.65444,0.70367,0.39901,1.40348,1.29329,1.7165,0.0009506,0.0009506,0.0009506
55,36254.5,1.13158,1.14935,1.38999,0.73434,0.60834,0.67421,0.38422,1.42144,1.35284,1.76825,0.0009308,0.0009308,0.0009308
56,36839,1.10275,1.10514,1.36166,0.76501,0.60425,0.67908,0.38082,1.36967,1.321,1.68072,0.000911,0.000911,0.000911
57,37424.5,1.12005,1.14994,1.39031,0.71421,0.632,0.67823,0.38875,1.42204,1.32775,1.74146,0.0008912,0.0008912,0.0008912
58,38011.6,1.10025,1.12669,1.36839,0.75288,0.65285,0.71382,0.42139,1.38032,1.26004,1.69685,0.0008714,0.0008714,0.0008714
59,38596.5,1.08433,1.11783,1.37017,0.74431,0.65251,0.7029,0.4175,1.35705,1.26469,1.66972,0.0008516,0.0008516,0.0008516
60,39183.9,1.0527,1.09152,1.3366,0.77373,0.64286,0.7327,0.421,1.35902,1.25174,1.68208,0.0008318,0.0008318,0.0008318
61,39768.6,1.05811,1.07489,1.34051,0.75309,0.60648,0.69169,0.40313,1.39579,1.26969,1.73871,0.000812,0.000812,0.000812
62,40352.2,1.0838,1.09822,1.35569,0.73275,0.66602,0.7053,0.42796,1.34458,1.24818,1.66383,0.0007922,0.0007922,0.0007922
63,40937.6,1.05,1.05478,1.34549,0.78024,0.61969,0.67913,0.39707,1.37582,1.30309,1.699,0.0007724,0.0007724,0.0007724
